Top pages,Clicks,Impressions,CTR,Position
https://www.itech.ph/product/asus-tuf-gaming-a15-fa506nf-hn005w-graphite-black-15-6-fhd-144hz-ryzen-5-7535hs-rtx-2050-8gb-ddr5-512gb-ssd/,935,79014,1.18%,7.11
https://www.itech.ph/best-laptops-for-teachers-for-school-year-2025-2026/,925,43369,2.13%,10.22
https://www.itech.ph/product/pre-order-playstation-dualsense-edge-wireless-controller-for-ps5-30th-anniversary-limited-edition-cfi-zct1g30/,924,9102,10.15%,8.17
https://www.itech.ph/product/msi-thin-15-b12uc-2601ph-15-6-fhd-i5-12450h-rtx-3050-4gb-8gb-ddr4-512gb-ssd/,923,21374,4.32%,6.87
https://www.itech.ph/product/lenovo-loq-15iax9-83gs002aph-luna-grey-15-6-fhd-144hz-i5-12450hx-rtx-3050-8gb-ddr5-512gb-ssd/,912,48019,1.9%,8.38
https://www.itech.ph/shop/laptops/apple-macbook/,906,58720,1.54%,19.33
https://www.itech.ph/product/ryzen-entry-gaming-build-ryzen-5-5600g-amd-randeon-graphics-8216gb-ram-500gb-ssd/,899,55514,1.62%,10
https://www.itech.ph/shop/laptops/asus-laptops-laptops/,893,170900,0.52%,8.83
https://www.itech.ph/shop/computer-components/motherboards/,879,204380,0.43%,10.5
https://www.itech.ph/product/acer-aspire-go-15-ag15-51p-55tg-15-3inch-wuxga-intel-core-i5-1334u-8gb-ram-512gb-ssd-intel-uhd-graphics-win11/,879,21745,4.04%,7.3
https://www.itech.ph/product/asus-tuf-dash-f15-fx507zc4-hn081w-mecha-grey-15-6-fhd-144hz-i5-12500h-rtx-3050-8gb-ddr4-512gb-ssd/,852,109369,0.78%,7.03
https://www.itech.ph/product/asus-vivobook-go-15-e1504fa-nj389w-indie-black-15-6-fhd-ryzen-3-7320u-512gb-ssd-8gb-lpddr5/,829,45773,1.81%,9.58
https://www.itech.ph/shop/mobile-phones/smartphone/iphone/,817,233865,0.35%,22.3
https://www.itech.ph/product/playstation-vr2/,810,48092,1.68%,10.05
https://www.itech.ph/product/msi-gaming-vector-16-hx-ai-a2xwhg-218ph/,806,14442,5.58%,6.78
https://www.itech.ph/product/acer-ka252q-g0bi-24-5-fhd-ips-freesync-led-monitor-120hz/,732,42957,1.7%,8.98
https://www.itech.ph/product/amd-ryzen-5-5600g-with-radeon-graphics-6-core-12-thread-processor/,729,125872,0.58%,9.04
https://www.itech.ph/shop/computer-components/processors/,723,139266,0.52%,9.35
https://www.itech.ph/shop/laptops/asus-laptops-laptops/asus-productivity-laptop/,723,89263,0.81%,8.92
https://www.itech.ph/shop/preorder/,711,79347,0.9%,4.05
https://www.itech.ph/product/hp-victus-15-fb1057ax-b45txpa-15-6″-fhd-ips-144hz-ryzen-5-7535hs-8gb-ddr4-rtx-2050-512gb-ssd/,706,65975,1.07%,6.91
https://www.itech.ph/shop/peripherals/gamepads-and-controllers/,683,107942,0.63%,8.31
https://www.itech.ph/shop/legion-go/,661,42815,1.54%,8.46
https://www.itech.ph/product/acer-nitro-v-15-anv15-41-r7k3-black-15-6-ips-144hz-ryzen-5-7535hs-rtx-2050-8gb-ddr5-512-ssd/,659,84662,0.78%,7.17
https://www.itech.ph/product/ugreen-hdmi-8k-ultra-high-speed-cable-1m-copy/,635,183144,0.35%,4.25
https://www.itech.ph/product/coolman-spectra-m-atx-dual-chamber-pc-case-black/,623,44711,1.39%,5.02
https://www.itech.ph/product/lenovo-loq-15irx9-83dv00bvph-15-6-fhd-144hz-i7-14700hx-rtx-4060-16gb-ddr5-512gb-ssd/,620,24745,2.51%,8.93
https://www.itech.ph/product/playstation-ps5-slim-console-with-two-dualsense-controller-bundle/,610,89345,0.68%,9.89
https://www.itech.ph/product/vention-hdmi-splitter-1-in-4-out-hd-4k-30hz-hdmi-1-4-1x2-1x4-adapter-with-power-supply-accg0/,600,36385,1.65%,9.59
https://www.itech.ph/product/asus-zenbook-14-oled-ux3405ma-pp678ws-ponder-blue-14-oled-3k-2880-x-1800-120hz-intel-core-ultra-5-125h-16gb-lpddr5x-16gb-lpddr5x-1tb-ssd/,592,45685,1.3%,8.75
https://www.itech.ph/product/playstation-5-disc-edition-cfi-1218a01/,591,38175,1.55%,11.16
https://www.itech.ph/product/lenovo-legion-5-16irx9-83dg00f5ph-luna-grey16-wqxga-2560x1600-165hz-i7-13650hx-rtx-4060-16gb-ddr5-512gb-ssd/,587,111412,0.53%,8.2
https://www.itech.ph/product/macbook-air-13-m1-256gb-space-gray/,584,108266,0.54%,10.33
https://www.itech.ph/shop/computer-components/chassis-system-box/,580,218127,0.27%,9.11
https://www.itech.ph/shop/playstation-console-games/playstation-accessories/ps4-accessories/,576,87183,0.66%,11.4
https://www.itech.ph/shop/audio/jbl/portable-speakers/,559,93977,0.59%,16.89
https://www.itech.ph/product/asus-tuf-gaming-f15-fx507zc4-hn081w-mecha-grey-15-6-fhd-144hz-i5-12500h-rtx-3050-8gb-ddr4-512gb-ssd/,556,46584,1.19%,6.97
https://www.itech.ph/product/gigabyte-radeon-rx-7600-xt-gaming-oc-16gb-gddr6-graphics-card/,548,69634,0.79%,8.08
https://www.itech.ph/shop/msi-claw/,548,19042,2.88%,7.97
https://www.itech.ph/product/xbox-series-x-1tb-digital-edition-white/,544,16059,3.39%,8.21
https://www.itech.ph/product/asus-vivobook-16-x1605za-mb819wsm-16-wuxga-i5-1235u-8216gb-ddr4-intel-iris-xᵉ-graphics-512gb/,543,49655,1.09%,8.21
https://www.itech.ph/product/gigabyte-gs-g5-kf5-h3ph393kh-15-6-fhd-144hz-i7-13620h-2x8-16gb-ddr5-512gb-ssd-rtx-4060/,539,26222,2.06%,8.17
https://www.itech.ph/product/asus-rog-zephyrus-g14-ga403uv-qs091w-platinum-white-14-2880-x-1800-oled-120hz-ryzen-9-8945hs-rtx-4060-16gb2-32gb-lpddr5x-1tb-ssd/,533,51851,1.03%,10.74
https://www.itech.ph/shop/laptop-accessories/,523,23131,2.26%,12.89
https://www.itech.ph/product/chromecast-with-google-tv-hd/,515,63721,0.81%,7.88
https://www.itech.ph/product/asus-tuf-gaming-a16-advantage-edition-fa617ns-n3086w-sandstorm-16-165hz-fhd-ryzen-7-7735hs-rx-7600s-8gb-ddr5-512gb-ssd/,500,87124,0.57%,7.4
https://www.itech.ph/shop/office-peripherals/keyboard/,496,66409,0.75%,10.62
https://www.itech.ph/product/msi-thin-15-b13uc-2438ph-15-6-144hz-i7-13620h-rtx-3050-16gb-ram-512gb-ssd/,496,13633,3.64%,7.19
https://www.itech.ph/shop/computer-components/psu/,494,138308,0.36%,12.34
https://www.itech.ph/product/intel-arc-b580-12gb-gddr6-limited-edition-graphics-card/,484,6876,7.04%,8.53
https://www.itech.ph/product/acer-nitro-15-anv15-51-541p-15-6-fhd-ips-i5-13420h-16gb-ram-512gb-ssd-rtx-4050/,482,40295,1.2%,8
https://www.itech.ph/product/apple-airpods-pro-3/,480,58079,0.83%,7.58
https://www.itech.ph/shop/peripherals/gaming-mouse/,475,91818,0.52%,9.56
https://www.itech.ph/product/jbl-partybox-club-120-portable-party-speaker/,464,112596,0.41%,8.05
https://www.itech.ph/product/msi-b550m-pro-vdh-wifi-601-7c95/,463,135362,0.34%,6.13
https://www.itech.ph/product/msi-katana-15-b13vgk-2064ph-15-6-144hz-i7-13620h-82-16gb-ddr5-rtx-4070-1tb-ssd/,463,29455,1.57%,8.24
https://www.itech.ph/product/ipad-9th-gen-64gb-wifi-silver-a2270/,460,59275,0.78%,8.63
https://www.itech.ph/product/tp-link-ac1200-mesh-wifi-extender/,458,115001,0.4%,9.29
https://www.itech.ph/product/sandisk-1tb-extreme-micro-sd-190mbs-130mbs-steam-deck-compatible/,443,33056,1.34%,10.71
https://www.itech.ph/shop/nintendo-switch/switch-games/,442,52462,0.84%,10.36
https://www.itech.ph/warranty-and-exchange/,436,7474,5.83%,10.06
https://www.itech.ph/product/lenovo-ideapad-3-14iau7-82rj00fcph-i3-1215u-8gb-ddr4-512gb-ssd-win-11-w-microsoft-office/,434,48502,0.89%,8.11
https://www.itech.ph/shop/computer-components/,432,201564,0.21%,9.77
https://www.itech.ph/product/hp-pavilion-plus-14-ew1009tu-14-2k-ips-intel-core-ultra-5-125h-intel-arc-graphics-16gb-lpddr5x-7467-mt-s-512gb-ssd-moonlight-blue-copy/,431,48534,0.89%,9.7
https://www.itech.ph/shop/computer-components/cooling-systems/,428,73381,0.58%,13.77
https://www.itech.ph/product/asus-vivobook-go-15-e1504fa-nj1528wsm-laptop-15-6-fhd-ryzen-5-7520u-16gb-ddr5-ram-radeon-graphics-512gb-ssd-mixed-black/,422,57735,0.73%,6.95
https://www.itech.ph/product/nintendo-switch-2-console/,413,71102,0.58%,7.96
https://www.itech.ph/product/xbox-series-s-512gb-ssd-white/,409,27010,1.51%,9.58
https://www.itech.ph/product/hp-laptop-15s-fq5346tu-15-6-fhd-i3-1215u-radeon-graphics-512-ssd-8gb-ddr5-windows-11-w-office-hs/,409,17256,2.37%,10.27
https://www.itech.ph/product/awd-aide-400-650va-1000va-390w-single-phase-line-interactive-with-stabilizer-ups/,403,12484,3.23%,4.77
https://www.itech.ph/product/asus-rog-ally-x-rc72la-z1-extreme-amd-radeon-graphics-12gb2-24gb-lpddr5-1tb-ssd/,392,16904,2.32%,9.66
https://www.itech.ph/product/logitech-lift-vertical-ergonomic-mouse-graphite/,391,67346,0.58%,6.66
https://www.itech.ph/product/asus-rog-phone-9-pro-edition-24g-1tb-phantom-black/,390,52943,0.74%,8.05
https://www.itech.ph/product/msi-cyborg-15-a12ucx-1298ph-15-6-fhd-144hz-ips-gaming-laptop-i5-12450h-rtx-2050-8gb-ram-512gb-ssd/,390,26710,1.46%,8.18
https://www.itech.ph/product/sandisk-extreme-portable-2tb-external-usb-c-nvme-ssd-black/,389,53566,0.73%,25.77
https://www.itech.ph/product/ryzen-entry-gaming-build-ryzen-3-3200g-amd-randeon-graphics-8gb-ram-500gb-ssd/,386,48934,0.79%,10.75
https://www.itech.ph/product/hp-victus-15-fa2729tx-b7wg0pa-15-6″-fhd-ips-144hz-i5-13420h-16gb-ddr4-rtx-4050-512gb-ssd-ms-office/,385,34295,1.12%,6.08
https://www.itech.ph/shop/networking/routers/,380,95514,0.4%,10.15
https://www.itech.ph/product/ps5-slim-console-disc-version/,372,47470,0.78%,8.55
https://www.itech.ph/product/acer-nitro-v-16-anv16-41-r3rp-black-15-6-ips-wuxga-165hz-r7-8845hs-rtx-4050-8gb-ddr5-512-ssd/,368,23664,1.56%,8.83
https://www.itech.ph/product/asus-vivobook-go-15-e1504fa-nj1527w-15-6-fhd-laptop-ryzen-3-7320u-8gb-ddr5-ram-amd-radeon-graphics-512gb-ssd-mixed-black/,364,38670,0.94%,7.69
https://www.itech.ph/product/msi-thin-15-b12ucx-1438ph-15-6-fhd-intel-core-i5-12450h-nvidia-geforce-rtx-2050-8gb-ddr4-512gb-ssd/,363,9726,3.73%,7.52
https://www.itech.ph/product/gigabyte-b450m-ds3h-v3-am4-rev-1-5-socket/,359,65796,0.55%,6.57
https://www.itech.ph/shop/laptops/gigabyte-laptops/,356,33639,1.06%,9.39
https://www.itech.ph/product/asus-vivobook-m1405ya-ly200wsm-indie-black-14-wuxga-ryzen-5-7430u-512gb-ssd-8x216gb-ddr4-hs-2021-365-basic/,356,6712,5.3%,7.3
https://www.itech.ph/product/kingston-nv3-1tb-m-2-2280-nvme-ssd-pcie-4-0-gen-4x4-up-to-6000-mb-s-snv3s/,353,50876,0.69%,9.26
https://www.itech.ph/product/ipad-2022-10th-gen-64gb-wifi-blue/,345,110567,0.31%,10.07
https://www.itech.ph/product/asus-vivobook-16-x1605va-mb1789wsm-16-wuxga-i7-13620h-8216gb-ddr4-intel-iris-xᵉ-graphics-512gb/,344,31393,1.1%,8.85
https://www.itech.ph/product/meta-quest-3-512gb-all-in-one-mixed-reality-vr-gaming-headset/,332,35868,0.93%,8.02
https://www.itech.ph/product/asus-rog-strix-g16-g614jv-n4369w-16-240hz-qhd-i7-13650hx-rtx-4060-16gb-ddr5-1tb-ssd/,332,22372,1.48%,9.61
https://www.itech.ph/product/hp-laptop-14-ep0223tu-ib49ycpa-i5-1235u-82-16gb-ddr4-512gb-ssd-win11-w-home-student/,331,11129,2.97%,12.09
https://www.itech.ph/product/lenovo-loq-15irx9-83dv016rph-15-6-fhd-144hz-i5-13450hx-rtx-4050-tgp-105w-16gb-ddr5-512gb-ssd-office-home-2024/,329,20337,1.62%,6.14
https://www.itech.ph/product/acer-notebook-swift-3-sf314-43-r60y-amd-ryzen-5-5500u-8gb-ram-512-gb-ssd-14-fhd-amd-radeontm-graphics-windows-10-p-silver-copy/,327,23810,1.37%,9.92
https://www.itech.ph/product/jisulife-handheld-fan-life9-3600mah-portable-bladeless-fan-black/,318,105452,0.3%,6.06
https://www.itech.ph/product/msi-katana-a15-ai-b8vf-404ph-black-15-6-fhd-144hhz-ryzen-7-8845hs-rtx-4060-16gb-82-ddr5-512gb-ssd/,314,22335,1.41%,7.27
https://www.itech.ph/product/hp-laptop-15-fc0122au-15-6-fhd-ryzen-5-7520u-radeon-graphics-512-ssd-8gb-ddr5-windows-11-w-office-hs/,312,19586,1.59%,8.54
https://www.itech.ph/shop/playstation-console-games/playstation-accessories/ps5-accessories/,311,43347,0.72%,11.21
https://www.itech.ph/shop/playstation-console-games/playstation-games/software-playstation-console-games/,306,83812,0.37%,10.76
https://www.itech.ph/product/seagate-4tb-one-touch-external-hdd-black/,305,22430,1.36%,9.86
https://www.itech.ph/product/asus-vivobook-16-x1607qa-mb084wsm-copilot-pc-laptop-16-wuxga-snapdragon-x1-26-100-16gb-ddr5-ram-qualcomm-adreno-graphics-512gb-ssd-quiet-blue/,304,18049,1.68%,8.37
https://www.itech.ph/product/msi-cyborg-15-a13vek-1050ph-15-6-fhd-144hz-i7-13620h-8gb-ddr5-512gb-ssd-rtx-4050/,303,14062,2.15%,7.89
https://www.itech.ph/product/asus-rog-strix-g16-g614ju-n3532wsm-16-wuxga-intel-core-i5-13450hx-16gb-ram-rtx-4050-512gb-ssd/,299,21270,1.41%,8.23
https://www.itech.ph/product/hp-envy-x360-14-fa0114au-b49vvpa-14-wuxga-touch-ryzen-5-8640hs-16gb-ddr5-512gb-ssd-win11-w-home-student/,298,30571,0.97%,7.6
https://www.itech.ph/product/asrock-intel-arc-b580-challenger-12gb-oc-b580-cl-12go-graphics-card/,293,18291,1.6%,7.51
https://www.itech.ph/product/hp-14-ep1144tu-c4fw3pa-14-fhd-intel-core-5-120u-16gb-ram-intel-graphics-512gb-ssd-natural-silver/,291,19632,1.48%,6.36
https://www.itech.ph/product/pre-order-playstation-dualsense-edge-wireless-controller-for-ps5-30th-anniversary-limited-edition-cfi-zcp1g30/,291,2657,10.95%,19.58
https://www.itech.ph/product/__trashed-7/,289,47360,0.61%,8.45
https://www.itech.ph/product/amd-ryzen-7-5700x-8-core-16-thread-processor/,288,74857,0.38%,9.31
https://www.itech.ph/product/hp-15-fr0037tu-bx8u7pa-natural-silver-15-6-fhd-i5-13420h-8216gb-ram-512gb-ssd-win-11-ms-office-hs-2021/,288,3515,8.19%,3.68
https://www.itech.ph/product/asus-vivobook-x1405za-ly040ws-quiet-blue-14-ips-wuxga-intel-i3-1215u-8gb-ram-512gb-ssd-intel-uhd-graphics/,287,16332,1.76%,12.34
https://www.itech.ph/product/hp-victus-16-r0338tx-gaming-laptop-mica-silver-16-1-fhd-165hz-i7-13700hx-rtx-4060-16gb-ddr5-ram-512-gb-ssd-win-11-hs-2021/,281,8210,3.42%,9.8
https://www.itech.ph/product/asus-tuf-gaming-f15-fx607vu-rl138wsm-mecha-gray-16-wuxga-144hz-i5-210h-16gb-ram-512gb-ssd-rtx-4050-6gb/,280,18216,1.54%,6.71
https://www.itech.ph/product/samsung-990-pro-2-tb-nvme-pcie-m-2-internal-ssd/,279,41278,0.68%,8.08
https://www.itech.ph/product/samsung-t7-shield-2tb-portable-external-ssd-black/,279,24073,1.16%,13.18
https://www.itech.ph/product/lenovo-ideapad-slim-3-15abr8-82xm011nph-15-r7-5825u-16gb-ddr4-512gb-randeon-win-11-w-office-home-2024/,274,20638,1.33%,6.48
https://www.itech.ph/contact-us/,274,11849,2.31%,8.27
https://www.itech.ph/product/lenovo-ideapad-slim-3-83k0000pph-14-wuxga-i5-13420h-8gb-8gb-free-ddr5-512gb-ssd-win-11-w-hs-luna-grey/,273,28072,0.97%,25.32
https://www.itech.ph/product/iphone-15-128gb-blue/,272,152941,0.18%,9.69
https://www.itech.ph/product/tp-link-tapo-c200-pan-tilt-home-security-wifi-camera/,271,44969,0.6%,10.24
https://www.itech.ph/product/sapphire-pulse-amd-radeon-rx-7800-xt-16gb/,271,20548,1.32%,8.5
https://www.itech.ph/product/asus-vivobook-go-15-e1504fa-nj1362wsm-mixed-black-15-6-fhd-laptop-ryzen-5-7520u-radeon-graphics-16gb-ddr5-512gb-ssd/,271,6311,4.29%,7.29
https://www.itech.ph/product/secure-ups-2000va-uninterruptible-power-supply/,270,9969,2.71%,9.08
https://www.itech.ph/store/,269,35488,0.76%,6.31
https://www.itech.ph/product/macbook-air-w-m2-chip-starlight-13-8-core-cpu-8-core-gpu-16gb-ram-256gb-ssd/,267,65574,0.41%,7.18
https://www.itech.ph/product/secure-ups-uninterruptible-power-supply-ups-650va/,262,39930,0.66%,8.37
https://www.itech.ph/product/msi-katana-15-hx-b14wgk-251ph-15-6-qhd-165hz-i7-14650hx-16gb-ram-ddr5-1tb-ssd-rtx-5070/,261,18926,1.38%,6.51
https://www.itech.ph/product/sandisk-512gb-extreme-micro-sd-190mbs-130mbs-steam-deck-compatible/,256,20635,1.24%,9.83
https://www.itech.ph/product/asus-rog-xbox-ally-x-black-ai-z2-extreme-processor-24gb-lpddr5x-1tb-ssd/,256,10321,2.48%,6.55
https://www.itech.ph/product/sandisk-extreme-portable-1tb-external-usb-c-nvme-ssd-black/,255,36096,0.71%,21.54
https://www.itech.ph/product/lenovo-loq-15arp9-83jc0047ph-15-6-fhd-144hz-ryzen-7-7435hs-rtx-4060-12gb-ddr5-512gb-ssd/,252,15079,1.67%,9.25
https://www.itech.ph/product/meta-quest-3s-all-in-one-virtual-reality-headset-with-batman-arkham-shadow-included/,251,23275,1.08%,10.17
https://www.itech.ph/product/lenovo-legion-5-15irx10-83ly00ewph-eclipse-black-15-3-wuxga-1920x1200-ips-i7-13650hx-rtx-5050-16gb-ddr5-512gb-ssd/,251,10625,2.36%,6.44
https://www.itech.ph/product/lenovo-loq-15irx9-83jc00geph-15-6-fhd-144hz-ryzen-7-7435hs-rtx-4050-tgp-105w-12gb-ddr5-512gb-ssd/,249,24818,1%,6.78
https://www.itech.ph/product/msi-cyborg-15-b13wekg-639ph-15-6-fhd-intel-core-i5-13420h-16gb-ram-rtx-5050-512gb-ssd/,247,16209,1.52%,5.33
https://www.itech.ph/terms-and-conditions/,247,4723,5.23%,7.04
https://www.itech.ph/product/orico-2-5-inch-usb-3-0-hard-drive-enclosure/,246,24399,1.01%,10.52
https://www.itech.ph/product/playstation-ps5-pro-console-digital-version-cfi-7000-bo1/,244,38036,0.64%,6.24
https://www.itech.ph/product/apc-bvx650i-ph-easy-ups-battery-backup/,244,31812,0.77%,9.79
https://www.itech.ph/product/viewsonic-va2436-h-pn-24-full-hd-ips-monitor-with-frameless-design-100hz-pink/,244,11880,2.05%,18.83
https://www.itech.ph/product/asus-rog-strix-xg27acs-w-wqhd-gaming-monitor-white-27-2560x1440-180hz-1ms-gtg-fast-ips-g-sync-compatible/,243,25035,0.97%,11.78
https://www.itech.ph/product/asus-rog-strix-xg32wcs-wqhd-gaming-monitor-32-2560x1440-180hz-1ms-gtg-fast-ips-elmb-sync/,242,17311,1.4%,9.42
https://www.itech.ph/product/airpods-pro-2nd-generation-with-magsafe-charging-case-usb‑c/,240,72392,0.33%,14.46
https://www.itech.ph/product/sandisk-extreme-pro-1tb-microsdxc-uhs-i-card-with-adapter-200-140mb-s/,237,25859,0.92%,9.89
https://www.itech.ph/product/ipad-9th-gen-256gb-wifi-space-gray/,236,29194,0.81%,11.46
https://www.itech.ph/product/hyperx-cloud-iii-wireless-gaming-headset-for-pc-mobile-and-consoles-red/,234,31029,0.75%,10.06
https://www.itech.ph/product/acer-ek251q-p6bi-24-5-fhd-1920x1080-144hz-1ms-ips-lcd-monitor-with-tilt-adjustment/,234,22515,1.04%,6.78
